TQ,DPQ,C,OU,DI,DFT,RD,DFO,DPQ2,C2,TQ2,OU2,DI2,DFT2,RD2,DFO2,DPQ3,C3,TQ3,OU3,DI3,DFT3,RD3,DFO3
1,1,1,4,5,1,4,3,1,1,1,4,4,1,3,2,1,1,1,4,3,0,3,2
0,3,4,3,7,0,7,4,3,4,0,3,7,0,7,4,3,4,0,3,7,0,7,4
0,3,4,1,16,1,15,4,3,4,0,1,15,1,14,4,3,4,0,1,14,1,13,3
0,0,1,0,14,1,13,1,0,1,0,0,13,1,12,1,0,1,0,0,12,1,11,1
2,4,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0
2,3,1,3,1,0,1,0,3,1,2,3,1,0,1,0,3,1,2,3,1,0,1,0
0,0,3,4,19,1,18,16,0,3,0,4,18,1,17,15,0,3,0,4,17,1,16,14
1,4,0,2,6,1,5,2,4,0,1,2,5,1,4,2,4,0,1,2,4,1,3,1
4,3,0,0,3,2,1,0,3,0,4,0,1,0,1,0,3,0,4,0,1,0,1,0
3,2,3,4,13,9,4,3,2,3,3,4,4,2,2,1,2,3,3,4,2,1,1,0
0,4,2,1,2,0,2,0,4,2,0,1,2,0,2,0,4,2,0,1,2,0,2,0
4,3,2,1,8,7,1,0,3,2,4,1,1,0,1,0,3,2,4,1,1,0,1,0
1,4,0,3,1,0,1,0,4,0,1,3,1,0,1,0,4,0,1,3,1,0,1,0
0,3,1,2,10,0,10,5,3,1,0,2,10,1,9,4,3,1,0,2,9,0,9,4
2,3,4,3,4,1,3,2,3,4,2,3,3,1,2,1,3,4,2,3,2,0,2,1
2,3,0,3,5,2,3,2,3,0,2,3,3,1,2,1,3,0,2,3,2,0,2,1
0,3,1,3,11,1,10,6,3,1,0,3,10,0,10,6,3,1,0,3,10,1,9,6
3,4,1,1,0,0,0,0,4,1,3,1,0,0,0,0,4,1,3,1,0,0,0,0
0,3,1,1,3,0,3,0,3,1,0,1,3,0,3,0,3,1,0,1,3,0,3,0
4,1,0,1,3,2,1,0,1,0,4,1,1,0,1,0,1,0,4,1,1,0,1,0
4,2,4,2,11,9,2,1,2,4,4,2,2,1,1,0,2,4,4,2,1,0,1,0
4,2,4,3,14,12,2,1,2,4,4,3,2,1,1,0,2,4,4,3,1,0,1,0
4,1,3,1,8,7,1,0,1,3,4,1,1,0,1,0,1,3,4,1,1,0,1,0
4,1,2,0,16,14,2,0,1,2,4,0,2,1,1,0,1,2,4,0,1,0,1,0
0,3,4,0,4,0,4,0,3,4,0,0,4,0,4,0,3,4,0,0,4,0,4,0
2,1,2,0,15,7,8,0,1,2,2,0,8,4,4,0,1,2,2,0,4,2,2,0
0,4,1,4,8,0,8,7,4,1,0,4,8,0,8,7,4,1,0,4,8,0,8,7
2,4,4,1,1,0,1,0,4,4,2,1,1,0,1,0,4,4,2,1,1,0,1,0
2,2,1,2,9,4,5,2,2,1,2,2,5,2,3,1,2,1,2,2,3,1,2,0
2,3,3,3,1,0,1,0,3,3,2,3,1,0,1,0,3,3,2,3,1,0,1,0
3,2,1,4,18,12,6,5,2,1,3,4,6,4,2,1,2,1,3,4,2,1,1,0
2,2,2,4,4,1,3,2,2,2,2,4,3,1,2,1,2,2,2,4,2,1,1,0
1,3,1,0,4,1,3,0,3,1,1,0,3,0,3,0,3,1,1,0,3,0,3,0
4,2,0,4,1,0,1,0,2,0,4,4,1,0,1,0,2,0,4,4,1,0,1,0
0,0,0,1,13,1,12,3,0,0,0,1,12,1,11,3,0,0,0,1,11,1,10,3
3,2,2,4,12,8,4,3,2,2,3,4,4,2,2,1,2,2,3,4,2,1,1,0
3,4,0,4,12,8,4,3,4,0,3,4,4,2,2,1,4,0,3,4,2,1,1,0
3,4,2,2,4,2,2,1,4,2,3,2,2,1,1,0,4,2,3,2,1,0,1,0
4,2,2,4,7,6,1,0,2,2,4,4,1,0,1,0,2,2,4,4,1,0,1,0
0,0,4,0,16,1,15,1,0,4,0,0,15,1,14,1,0,4,0,0,14,1,13,1
0,4,4,2,6,0,6,3,4,4,0,2,6,0,6,3,4,4,0,2,6,0,6,2
0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
2,3,4,2,6,3,3,1,3,4,2,2,3,1,2,1,3,4,2,2,2,0,2,0
2,3,2,3,5,2,3,2,3,2,2,3,3,1,2,1,3,2,2,3,2,1,1,0
1,3,2,0,7,2,5,0,3,2,1,0,5,1,4,0,3,2,1,0,4,1,3,0
2,1,2,0,6,2,4,0,1,2,2,0,4,2,2,0,1,2,2,0,2,1,1,0
2,0,4,4,18,8,10,9,0,4,2,4,10,4,6,5,0,4,2,4,6,3,3,2
0,4,3,2,16,1,15,7,4,3,0,2,15,1,14,7,4,3,0,2,14,1,13,6
1,3,3,3,8,2,6,4,3,3,1,3,6,1,5,3,3,3,1,3,5,1,4,2
1,2,4,4,16,4,12,10,2,4,1,4,12,3,9,8,2,4,1,4,9,2,7,6
2,3,2,4,10,4,6,5,3,2,2,4,6,2,4,3,3,2,2,4,4,1,3,2
3,1,2,2,12,8,4,1,1,2,3,2,4,2,2,0,1,2,3,2,2,1,1,0
3,1,4,1,18,12,6,1,1,4,3,1,6,4,2,0,1,4,3,1,2,1,1,0
2,4,3,4,3,1,2,1,4,3,2,4,2,0,2,1,4,3,2,4,2,0,2,1
1,1,2,4,8,2,6,5,1,2,1,4,6,1,5,4,1,2,1,4,5,1,4,3
1,1,2,4,8,2,6,5,1,2,1,4,6,1,5,4,1,2,1,4,5,1,4,3
3,1,4,1,17,11,6,1,1,4,3,1,6,4,2,0,1,4,3,1,2,1,1,0
0,2,2,1,12,1,11,3,2,2,0,1,11,1,10,3,2,2,0,1,10,1,9,2
1,2,0,2,1,0,1,0,2,0,1,2,1,0,1,0,2,0,1,2,1,0,1,0
0,4,3,3,10,1,9,6,4,3,0,3,9,0,9,6,4,3,0,3,9,0,9,6
0,4,1,1,4,0,4,1,4,1,0,1,4,0,4,1,4,1,0,1,4,0,4,1
3,3,1,2,1,0,1,0,3,1,3,2,1,0,1,0,3,1,3,2,1,0,1,0
1,3,3,4,10,3,7,6,3,3,1,4,7,2,5,4,3,3,1,4,5,1,4,3
4,3,0,3,7,6,1,0,3,0,4,3,1,0,1,0,3,0,4,3,1,0,1,0
1,3,2,4,1,0,1,0,3,2,1,4,1,0,1,0,3,2,1,4,1,0,1,0
4,3,0,3,0,0,0,0,3,0,4,3,0,0,0,0,3,0,4,3,0,0,0,0
1,2,3,4,14,4,10,9,2,3,1,4,10,3,7,6,2,3,1,4,7,2,5,4
4,0,3,1,7,6,1,0,0,3,4,1,1,0,1,0,0,3,4,1,1,0,1,0
3,3,3,4,6,4,2,1,3,3,3,4,2,1,1,0,3,3,3,4,1,0,1,0
4,0,3,1,9,8,1,0,0,3,4,1,1,0,1,0,0,3,4,1,1,0,1,0
2,1,0,4,10,5,5,4,1,0,2,4,5,2,3,2,1,0,2,4,3,1,2,1
1,0,3,1,11,3,8,2,0,3,1,1,8,2,6,1,0,3,1,1,6,1,5,1
3,0,2,1,12,8,4,1,0,2,3,1,4,2,2,0,0,2,3,1,2,1,1,0
4,4,3,1,11,9,2,0,4,3,4,1,2,1,1,0,4,3,4,1,1,0,1,0
0,3,1,2,8,0,8,4,3,1,0,2,8,0,8,4,3,1,0,2,8,0,8,4
1,1,0,3,7,2,5,3,1,0,1,3,5,1,4,2,1,0,1,3,4,1,3,2
2,4,2,0,12,6,6,0,4,2,2,0,6,3,3,0,4,2,2,0,3,1,2,0
1,1,3,1,17,5,12,3,1,3,1,1,12,3,9,2,1,3,1,1,9,2,7,2
4,0,0,4,4,3,1,0,0,0,4,4,1,0,1,0,0,0,4,4,1,0,1,0
2,3,2,3,10,4,6,4,3,2,2,3,6,2,4,2,3,2,2,3,4,2,2,1
2,1,4,3,18,8,10,7,1,4,2,3,10,5,5,3,1,4,2,3,5,2,3,2
0,2,2,3,10,1,9,6,2,2,0,3,9,0,9,6,2,2,0,3,9,0,9,6
4,4,2,4,3,2,1,0,4,2,4,4,1,0,1,0,4,2,4,4,1,0,1,0
1,3,3,1,8,2,6,1,3,3,1,1,6,1,5,1,3,3,1,1,5,1,4,1
4,1,4,0,17,15,2,0,1,4,4,0,2,1,1,0,1,4,4,0,1,0,1,0
4,4,0,3,3,2,1,0,4,0,4,3,1,0,1,0,4,0,4,3,1,0,1,0
1,0,0,3,9,2,7,4,0,0,1,3,7,2,5,3,0,0,1,3,5,1,4,2
0,2,2,2,14,1,13,6,2,2,0,2,13,1,12,6,2,2,0,2,12,1,11,5
3,4,0,2,6,4,2,0,4,0,3,2,2,1,1,0,4,0,3,2,1,0,1,0
4,2,2,3,6,5,1,0,2,2,4,3,1,0,1,0,2,2,4,3,1,0,1,0
3,3,4,4,10,6,4,3,3,4,3,4,4,2,2,1,3,4,3,4,2,1,1,0
0,2,3,0,5,0,5,0,2,3,0,0,5,0,5,0,2,3,0,0,5,0,5,0
2,1,1,1,11,5,6,1,1,1,2,1,6,3,3,0,1,1,2,1,3,1,2,0
3,1,3,2,10,7,3,1,1,3,3,2,3,2,1,0,1,3,3,2,1,0,1,0
2,3,4,1,5,2,3,0,3,4,2,1,3,1,2,0,3,4,2,1,2,1,1,0
1,1,4,1,11,3,8,2,1,4,1,1,8,2,6,1,1,4,1,1,6,1,5,1
1,3,1,3,10,3,7,4,3,1,1,3,7,2,5,3,3,1,1,3,5,1,4,2
2,4,4,1,2,0,2,0,4,4,2,1,2,1,1,0,4,4,2,1,1,0,1,0
2,3,4,0,11,5,6,0,3,4,2,0,6,3,3,0,3,4,2,0,3,1,2,0
4,1,4,0,18,16,2,0,1,4,4,0,2,1,1,0,1,4,4,0,1,0,1,0
3,4,1,3,2,1,1,0,4,1,3,3,1,0,1,0,4,1,3,3,1,0,1,0
4,0,2,1,16,14,2,0,0,2,4,1,2,1,1,0,0,2,4,1,1,0,1,0
3,1,2,4,17,11,6,5,1,2,3,4,6,4,2,1,1,2,3,4,2,1,1,0
2,4,1,4,1,0,1,0,4,1,2,4,1,0,1,0,4,1,2,4,1,0,1,0
2,0,1,1,10,4,6,1,0,1,2,1,6,3,3,0,0,1,2,1,3,1,2,0
3,1,3,3,18,12,6,4,1,3,3,3,6,4,2,1,1,3,3,3,2,1,1,0
1,1,2,3,4,1,3,2,1,2,1,3,3,0,3,2,1,2,1,3,3,0,3,2
3,0,3,3,15,10,5,3,0,3,3,3,5,3,2,1,0,3,3,3,2,1,1,0
1,4,1,4,2,0,2,1,4,1,1,4,2,0,2,1,4,1,1,4,2,0,2,1
1,3,3,3,6,1,5,3,3,3,1,3,5,1,4,2,3,3,1,3,4,1,3,2
2,0,3,4,14,6,8,7,0,3,2,4,8,3,5,4,0,3,2,4,5,2,3,2
1,0,4,2,14,4,10,5,0,4,1,2,10,3,7,3,0,4,1,2,7,2,5,2
0,0,0,2,7,0,7,3,0,0,0,2,7,0,7,3,0,0,0,2,7,0,7,3
0,3,0,4,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,4,0,0,0,0
1,4,4,1,8,2,6,1,4,4,1,1,6,1,5,1,4,4,1,1,5,1,4,1
0,3,2,0,5,0,5,0,3,2,0,0,5,0,5,0,3,2,0,0,5,0,5,0
3,4,1,0,0,0,0,0,4,1,3,0,0,0,0,0,4,1,3,0,0,0,0,0
2,0,2,3,18,9,9,6,0,2,2,3,9,4,5,3,0,2,2,3,5,2,3,2
2,3,0,0,5,2,3,0,3,0,2,0,3,1,2,0,3,0,2,0,2,1,1,0
1,4,1,3,2,0,2,1,4,1,1,3,2,0,2,1,4,1,1,3,2,0,2,1
4,2,2,0,3,2,1,0,2,2,4,0,1,0,1,0,2,2,4,0,1,0,1,0
3,3,1,1,1,0,1,0,3,1,3,1,1,0,1,0,3,1,3,1,1,0,1,0
1,4,0,4,1,0,1,0,4,0,1,4,1,0,1,0,4,0,1,4,1,0,1,0
3,1,1,0,3,2,1,0,1,1,3,0,1,0,1,0,1,1,3,0,1,0,1,0
4,4,2,4,4,3,1,0,4,2,4,4,1,0,1,0,4,2,4,4,1,0,1,0
4,1,0,4,6,5,1,0,1,0,4,4,1,0,1,0,1,0,4,4,1,0,1,0
1,4,3,0,4,1,3,0,4,3,1,0,3,0,3,0,4,3,1,0,3,0,3,0
0,4,3,0,1,0,1,0,4,3,0,0,1,0,1,0,4,3,0,0,1,0,1,0
2,2,3,4,12,6,6,5,2,3,2,4,6,2,4,3,2,3,2,4,4,2,2,1
1,4,0,3,0,0,0,0,4,0,1,3,0,0,0,0,4,0,1,3,0,0,0,0
4,0,1,1,4,3,1,0,0,1,4,1,1,0,1,0,0,1,4,1,1,0,1,0
4,2,1,0,8,7,1,0,2,1,4,0,1,0,1,0,2,1,4,0,1,0,1,0
0,0,1,2,8,0,8,3,0,1,0,2,8,0,8,3,0,1,0,2,8,0,8,3
3,2,4,4,5,3,2,1,2,4,3,4,2,1,1,0,2,4,3,4,1,0,1,0
2,0,2,0,8,3,5,0,0,2,2,0,5,2,3,0,0,2,2,0,3,1,2,0
3,2,0,1,9,6,3,0,2,0,3,1,3,2,1,0,2,0,3,1,1,0,1,0
4,0,4,0,14,12,2,0,0,4,4,0,2,1,1,0,0,4,4,0,1,0,1,0
3,4,4,4,6,4,2,1,4,4,3,4,2,1,1,0,4,4,3,4,1,0,1,0
0,4,3,1,0,0,0,0,4,3,0,1,0,0,0,0,4,3,0,1,0,0,0,0
4,1,3,1,18,16,2,0,1,3,4,1,2,1,1,0,1,3,4,1,1,0,1,0
1,2,4,2,13,3,10,4,2,4,1,2,10,3,7,3,2,4,1,2,7,2,5,2
3,4,1,3,6,4,2,1,4,1,3,3,2,1,1,0,4,1,3,3,1,0,1,0
1,0,0,0,3,0,3,0,0,0,1,0,3,0,3,0,0,0,1,0,3,0,3,0
1,3,2,0,4,1,3,0,3,2,1,0,3,0,3,0,3,2,1,0,3,0,3,0
3,2,0,2,5,3,2,1,2,0,3,2,2,1,1,0,2,0,3,2,1,0,1,0
1,3,3,1,2,0,2,0,3,3,1,1,2,0,2,0,3,3,1,1,2,0,2,0
4,4,4,3,1,0,1,0,4,4,4,3,1,0,1,0,4,4,4,3,1,0,1,0
4,2,1,2,4,3,1,0,2,1,4,2,1,0,1,0,2,1,4,2,1,0,1,0
4,2,0,4,4,3,1,0,2,0,4,4,1,0,1,0,2,0,4,4,1,0,1,0
3,1,2,2,9,6,3,1,1,2,3,2,3,2,1,0,1,2,3,2,1,0,1,0
0,1,4,1,18,1,17,5,1,4,0,1,17,1,16,4,1,4,0,1,16,1,15,4
1,0,4,2,12,3,9,4,0,4,1,2,9,2,7,3,0,4,1,2,7,2,5,2
2,3,3,2,10,4,6,3,3,3,2,2,6,2,4,2,3,3,2,2,4,1,3,1
3,1,0,2,3,2,1,0,1,0,3,2,1,0,1,0,1,0,3,2,1,0,1,0
3,4,3,2,4,2,2,1,4,3,3,2,2,1,1,0,4,3,3,2,1,0,1,0
1,4,1,0,6,1,5,0,4,1,1,0,5,1,4,0,4,1,1,0,4,1,3,0
2,4,3,3,10,4,6,4,4,3,2,3,6,3,3,2,4,3,2,3,3,1,2,1
0,2,0,4,3,0,3,2,2,0,0,4,3,0,3,2,2,0,0,4,3,0,3,2
2,0,1,0,13,6,7,0,0,1,2,0,7,3,4,0,0,1,2,0,4,1,3,0
1,3,1,3,8,2,6,4,3,1,1,3,6,1,5,3,3,1,1,3,5,1,4,2
3,2,3,1,16,11,5,1,2,3,3,1,5,3,2,0,2,3,3,1,2,1,1,0
4,3,3,1,10,8,2,0,3,3,4,1,2,1,1,0,3,3,4,1,1,0,1,0
3,0,2,0,12,8,4,0,0,2,3,0,4,2,2,0,0,2,3,0,2,1,1,0
4,2,4,0,4,3,1,0,2,4,4,0,1,0,1,0,2,4,4,0,1,0,1,0
1,1,4,4,15,4,11,9,1,4,1,4,11,3,8,7,1,4,1,4,8,2,6,5
1,0,4,4,19,5,14,12,0,4,1,4,14,4,10,8,0,4,1,4,10,3,7,6
0,4,3,1,0,0,0,0,4,3,0,1,0,0,0,0,4,3,0,1,0,0,0,0
2,1,0,1,1,0,1,0,1,0,2,1,1,0,1,0,1,0,2,1,1,0,1,0
2,2,3,3,15,7,8,5,2,3,2,3,8,4,4,2,2,3,2,3,4,2,2,1
0,4,4,2,4,0,4,2,4,4,0,2,4,0,4,1,4,4,0,2,4,0,4,1
2,3,4,2,1,0,1,0,3,4,2,2,1,0,1,0,3,4,2,2,1,0,1,0
3,4,4,4,4,2,2,1,4,4,3,4,2,1,1,0,4,4,3,4,1,0,1,0
3,4,1,3,4,2,2,1,4,1,3,3,2,1,1,0,4,1,3,3,1,0,1,0
4,3,1,1,7,6,1,0,3,1,4,1,1,0,1,0,3,1,4,1,1,0,1,0
2,3,3,1,9,4,5,1,3,3,2,1,5,2,3,0,3,3,2,1,3,1,2,0
2,0,0,2,5,2,3,1,0,0,2,2,3,1,2,0,0,0,2,2,2,1,1,0
0,0,2,2,18,1,17,8,0,2,0,2,17,1,16,8,0,2,0,2,16,1,15,7
0,2,4,3,14,1,13,9,2,4,0,3,13,1,12,8,2,4,0,3,12,1,11,7
3,4,1,3,3,2,1,0,4,1,3,3,1,0,1,0,4,1,3,3,1,0,1,0
2,0,1,0,10,5,5,0,0,1,2,0,5,2,3,0,0,1,2,0,3,1,2,0
1,4,4,0,1,0,1,0,4,4,1,0,1,0,1,0,4,4,1,0,1,0,1,0
1,4,0,2,6,1,5,2,4,0,1,2,5,1,4,2,4,0,1,2,4,1,3,1
3,3,4,0,10,7,3,0,3,4,3,0,3,2,1,0,3,4,3,0,1,0,1,0
1,2,1,2,14,4,10,4,2,1,1,2,10,2,8,4,2,1,1,2,8,2,6,3
2,3,3,2,4,1,3,1,3,3,2,2,3,1,2,0,3,3,2,2,2,0,2,0
2,1,0,4,8,4,4,3,1,0,2,4,4,2,2,1,1,0,2,4,2,1,1,0
0,4,1,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0
3,3,3,0,2,1,1,0,3,3,3,0,1,0,1,0,3,3,3,0,1,0,1,0
2,3,4,4,5,2,3,2,3,4,2,4,3,1,2,1,3,4,2,4,2,1,1,0
3,0,3,4,15,10,5,4,0,3,3,4,5,3,2,1,0,3,3,4,2,1,1,0
1,1,3,1,13,3,10,3,1,3,1,1,10,2,8,2,1,3,1,1,8,2,6,1
1,4,2,3,4,1,3,2,4,2,1,3,3,0,3,2,4,2,1,3,3,0,3,2
0,0,2,3,17,1,16,11,0,2,0,3,16,1,15,10,0,2,0,3,15,1,14,9
2,3,4,2,8,3,5,2,3,4,2,2,5,2,3,1,3,4,2,2,3,1,2,0
1,4,1,4,7,2,5,4,4,1,1,4,5,1,4,3,4,1,1,4,4,1,3,2
2,4,4,1,10,4,6,1,4,4,2,1,6,2,4,1,4,4,2,1,4,1,3,0
3,3,4,0,12,8,4,0,3,4,3,0,4,2,2,0,3,4,3,0,2,1,1,0
2,4,2,1,2,0,2,0,4,2,2,1,2,1,1,0,4,2,2,1,1,0,1,0
3,4,4,2,9,6,3,1,4,4,3,2,3,2,1,0,4,4,3,2,1,0,1,0
3,0,0,3,5,3,2,1,0,0,3,3,2,1,1,0,0,0,3,3,1,0,1,0
3,2,2,2,4,2,2,0,2,2,3,2,2,1,1,0,2,2,3,2,1,0,1,0
0,2,3,0,13,1,12,1,2,3,0,0,12,1,11,1,2,3,0,0,11,1,10,0
2,0,4,4,18,9,9,8,0,4,2,4,9,4,5,4,0,4,2,4,5,2,3,2
0,2,2,1,7,0,7,2,2,2,0,1,7,0,7,2,2,2,0,1,7,0,7,2
4,0,4,0,18,16,2,0,0,4,4,0,2,1,1,0,0,4,4,0,1,0,1,0
3,0,1,3,12,8,4,2,0,1,3,3,4,2,2,1,0,1,3,3,2,1,1,0
3,2,3,3,14,9,5,3,2,3,3,3,5,3,2,1,2,3,3,3,2,1,1,0
2,3,2,2,11,5,6,2,3,2,2,2,6,2,4,1,3,2,2,2,4,1,3,1
1,2,4,1,11,3,8,2,2,4,1,1,8,2,6,1,2,4,1,1,6,1,5,1
1,3,4,0,3,0,3,0,3,4,1,0,3,0,3,0,3,4,1,0,3,0,3,0
1,2,4,0,12,3,9,0,2,4,1,0,9,2,7,0,2,4,1,0,7,2,5,0
3,2,2,3,18,12,6,4,2,2,3,3,6,4,2,1,2,2,3,3,2,1,1,0
3,4,2,2,0,0,0,0,4,2,3,2,0,0,0,0,4,2,3,2,0,0,0,0
2,3,2,1,5,2,3,0,3,2,2,1,3,1,2,0,3,2,2,1,2,0,2,0
2,4,3,1,5,2,3,0,4,3,2,1,3,1,2,0,4,3,2,1,2,0,2,0
1,4,2,2,7,2,5,2,4,2,1,2,5,1,4,2,4,2,1,2,4,1,3,1
1,0,1,2,8,2,6,3,0,1,1,2,6,1,5,2,0,1,1,2,5,1,4,1
0,3,4,4,6,0,6,5,3,4,0,4,6,0,6,5,3,4,0,4,6,0,6,5
0,3,1,2,5,0,5,2,3,1,0,2,5,0,5,2,3,1,0,2,5,0,5,2
2,2,0,1,6,2,4,1,2,0,2,1,4,1,3,0,2,0,2,1,3,1,2,0
0,4,3,3,4,0,4,2,4,3,0,3,4,0,4,2,4,3,0,3,4,0,4,2
4,2,1,2,0,0,0,0,2,1,4,2,0,0,0,0,2,1,4,2,0,0,0,0
1,1,1,1,14,4,10,3,1,1,1,1,10,2,8,2,1,1,1,1,8,2,6,1
3,1,0,1,9,6,3,0,1,0,3,1,3,2,1,0,1,0,3,1,1,0,1,0
4,4,0,1,0,0,0,0,4,0,4,1,0,0,0,0,4,0,4,1,0,0,0,0
0,4,1,1,7,0,7,2,4,1,0,1,7,0,7,2,4,1,0,1,7,0,7,2
1,4,4,2,7,2,5,2,4,4,1,2,5,1,4,2,4,4,1,2,4,1,3,1
4,3,3,0,14,12,2,0,3,3,4,0,2,1,1,0,3,3,4,0,1,0,1,0
0,4,0,3,0,0,0,0,4,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0
3,3,2,2,5,3,2,1,3,2,3,2,2,1,1,0,3,2,3,2,1,0,1,0
4,0,4,3,12,10,2,1,0,4,4,3,2,1,1,0,0,4,4,3,1,0,1,0
1,0,0,2,8,2,6,3,0,0,1,2,6,1,5,2,0,0,1,2,5,1,4,1
4,3,2,2,6,5,1,0,3,2,4,2,1,0,1,0,3,2,4,2,1,0,1,0
3,3,1,3,2,1,1,0,3,1,3,3,1,0,1,0,3,1,3,3,1,0,1,0
2,2,4,4,12,5,7,6,2,4,2,4,7,3,4,3,2,4,2,4,4,2,2,1
0,0,3,2,16,1,15,7,0,3,0,2,15,1,14,7,0,3,0,2,14,1,13,6
4,1,2,1,15,13,2,0,1,2,4,1,2,1,1,0,1,2,4,1,1,0,1,0
3,3,3,1,12,8,4,1,3,3,3,1,4,2,2,0,3,3,3,1,2,1,1,0
2,2,4,2,7,3,4,2,2,4,2,2,4,1,3,1,2,4,2,2,3,1,2,1
1,3,2,3,6,1,5,3,3,2,1,3,5,1,4,2,3,2,1,3,4,1,3,2
3,4,3,1,10,7,3,0,4,3,3,1,3,2,1,0,4,3,3,1,1,0,1,0
2,1,1,4,10,4,6,5,1,1,2,4,6,2,4,3,1,1,2,4,4,1,3,2
4,2,3,0,2,1,1,0,2,3,4,0,1,0,1,0,2,3,4,0,1,0,1,0
2,1,4,3,17,8,9,6,1,4,2,3,9,4,5,3,1,4,2,3,5,2,3,2
4,2,0,1,0,0,0,0,2,0,4,1,0,0,0,0,2,0,4,1,0,0,0,0
2,2,3,1,12,5,7,2,2,3,2,1,7,3,4,1,2,3,2,1,4,2,2,0
0,1,3,4,17,1,16,14,1,3,0,4,16,1,15,13,1,3,0,4,15,1,14,12
4,3,1,4,7,6,1,0,3,1,4,4,1,0,1,0,3,1,4,4,1,0,1,0
2,1,4,3,15,7,8,5,1,4,2,3,8,3,5,3,1,4,2,3,5,2,3,2
4,2,0,0,4,3,1,0,2,0,4,0,1,0,1,0,2,0,4,0,1,0,1,0
2,3,0,4,0,0,0,0,3,0,2,4,0,0,0,0,3,0,2,4,0,0,0,0
0,2,1,0,9,0,9,0,2,1,0,0,9,0,9,0,2,1,0,0,9,0,9,0
